match_id, player_slot, account_id, hero_id, kills, deaths, assists, gold_per_min, xp_per_min, last_hits, denies, hero_damage, tower_damage, hero_healing, level, net_worth, item_0, item_1, item_2, item_3, item_4, item_5, backpack_0, backpack_1, backpack_2, team
8565531115,131,1706396092,30,18,2,14,428,471,14,0,21338,779,2923,14,10678,108,254,0,0,36,180,0,0,0,dire
8565531115,132,1573886285,38,9,5,20,521,572,140,11,22183,3617,125,16,12998,1,77,170,244,108,63,0,0,0,dire
8565530911,0,,17,9,5,3,496,666,223,13,20602,0,0,18,14012,259,36,63,116,41,534,0,0,0,radiant
8565530911,1,1148767841,59,2,11,3,283,326,95,18,6538,0,0,12,7994,42,54,1123,73,29,151,0,0,0,radiant
8565530911,2,,12,0,12,3,229,320,46,1,6028,0,0,12,6469,20,16,34,174,11,63,22,16,18,radiant
8565530911,3,1161783755,96,4,10,3,374,466,129,0,7870,289,0,15,10565,12,125,16,137,4,11,0,0,0,radiant
8565530911,4,,123,0,11,3,161,254,19,2,4797,0,72,11,4548,36,244,166,77,0,14,4204,0,0,radiant
8565530911,128,,11,5,3,7,453,476,121,11,11353,3658,0,15,12797,36,21,41,100,48,1,0,0,0,dire
8565530911,129,,105,10,4,7,383,432,38,6,10581,2611,0,14,10819,214,0,176,36,0,0,0,0,0,dire
8565530911,130,,114,2,2,15,399,519,76,4,11162,1857,125,16,11271,63,174,32,1575,75,36,0,0,0,dire
8565530911,131,,61,20,3,7,809,855,243,15,26208,17269,0,21,22854,147,250,73,178,63,116,0,0,0,dire
8565530911,132,,86,9,4,16,433,466,49,0,14588,1222,0,15,12232,180,202,0,36,1,0,0,0,0,dire
8565530610,0,1903384728,14,14,5,21,532,753,39,2,16889,2286,2994,19,13769,1,267,36,188,232,214,0,0,0,radiant
8565530610,1,103023701,88,5,2,16,384,516,37,6,9802,221,125,15,9939,180,104,100,0,232,265,0,0,0,radiant
8565530610,2,862118296,74,16,2,16,736,821,126,5,20206,13257,0,19,19050,48,116,1,65,534,77,0,0,0,radiant
8565530610,3,159635696,135,9,2,20,684,742,202,7,16654,6169,5850,18,17704,1,178,108,50,939,73,11,0,0,radiant
8565530610,4,881431207,1,4,3,23,672,757,191,15,11157,9799,0,19,17393,75,145,36,147,139,63,0,0,0,radiant
8565530610,128,95020777,21,5,10,4,253,325,22,1,12834,24,0,12,6548,36,188,180,1,218,40,0,0,0,dire
8565530610,129,869110133,8,3,8,2,430,497,203,13,16302,0,164,15,11129,50,36,172,145,75,22,42,18,40,dire
8565530610,130,51620036,105,1,12,9,244,283,19,1,18044,54,0,11,6315,178,214,218,188,34,232,0,0,0,dire
8565530610,131,381778761,49,1,7,5,439,553,153,16,9952,577,0,16,11362,63,36,8,73,65,1,21,0,0,dire
8565530610,132,106363224,2,4,14,4,347,326,86,7,9664,166,0,12,8981,12,4,3,29,1,164,12,0,0,dire
8565530605,0,371211947,17,0,5,3,317,403,127,0,3746,0,0,12,7333,77,41,534,77,63,0,0,0,0,radiant
8565530605,1,1176567439,129,0,7,3,260,346,60,3,6472,0,220,11,6014,50,16,0,1,11,41,0,0,0,radiant
8565530605,2,1030734617,145,4,4,1,410,494,116,13,10731,0,0,14,9484,50,596,168,596,36,40,16,0,0,radiant
8565530605,3,92334722,83,2,10,5,272,282,37,3,8479,185,1655,10,6292,218,0,232,36,214,244,4204,0,0,radiant
8565530605,4,163332639,96,2,8,4,354,385,95,8,11239,80,0,12,8189,1,127,34,73,73,125,0,0,0,radiant
